IsExit,ExitReason,IsTDP,LiabilityCode,TotalHours,CourseMode,HighEdu,CoB,CALD,FacultyCode,DeptCode
0,NULL,1,R,36,Electronic/Online,514,Australia,N,BIA,MGT
0,NULL,0,FS,40,Standard,8,Australia,Y,EDL,SIT
0,NULL,1,VL,961,Standard,990,Australia,N,SCL,VCA
0,NULL,0,JU,1.5,Standard,514,Cambodia,Y,BGD,PRI
0,NULL,0,JU,2.5,Standard,514,Australia,N,BGD,PRI
0,NULL,0,JU,50,Standard,511,Australia,N,BGD,PRI
1,W1,1,R,260.5704394,Standard,BDI,United States of America,N,SHS,NUR
1,W1,1,R,690,Standard,BDI,United States of America,N,SHS,NUR
1,N1,1,PR,454,Standard,8,Australia,N,SIT,ELT
1,,1,R,17.5,Standard,521,Malta,Y,SHS,COM
0,NULL,0,AM,35,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,1,DL,216,Standard,420,Australia,N,HED,MUC
0,NULL,1,DL,6.092307692,Standard,420,Australia,N,HED,MUC
0,NULL,1,R,800,Standard,990,Australia,N,SCL,VCE
0,NULL,1,LT,130,Standard,8,Australia,N,BIA,AFS
0,NULL,0,AM,157,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
0,NULL,1,AP,625,Standard,514,Iran,Y,BIA,MGT
1,W1,0,JU,30,Standard,8,Australia,N,BGD,PRI
0,NULL,1,R,807,Standard,990,Australia,N,SHS,HCS
0,NULL,1,FN,180,Standard,514,Australia,N,SIT,REF
0,NULL,1,RO,117.7440246,Electronic/Online,521,Australia,N,SHS,SAS
0,NULL,1,R,130.8533645,Standard,420,Australia,N,BIA,HAI
0,NULL,1,L,140,Standard,514,Australia,N,SIT,WOD
1,S1,1,L,160,Standard,8,Australia,N,SIT,REF
0,NULL,1,PR,360,Standard,8,Australia,N,SIT,ATL
0,NULL,1,DL,1201.553398,Standard,420,Sri Lanka,Y,HED,BEC
0,NULL,1,DL,106.7755102,Standard,420,Sri Lanka,Y,HED,BEC
1,E3,1,R,20,Standard,514,Australia,N,SHS,SAS
0,NULL,0,AM,265,Standard,BDI,China (excludes SARs and Taiwan),Y,CND,AMP
1,P1,0,R,237.5,Electronic/Online,8,India,Y,CND,ETS
0,NULL,1,R,500.5803074,Standard,511,Afghanistan,Y,SHS,NUR
0,NULL,0,FG,34.16280674,Electronic/Online,8,Australia,N,CND,ETS
0,NULL,0,FI,56.21052632,Standard,BDI,Ireland,N,CND,ETS
0,NULL,1,L,400,Standard,514,Australia,N,SIT,ELT
